data
설치
홈스쿨링
과제
질문
오늘
출석체크
하나
프밍기
학점포기했는데
사용자
계정
변경
방법
프로그래밍기초
수강하고나서
배워보고싶어서
수강신청했는데
주피터
노트북
실행
안될
지난번수업들
참석못했
연산자와
연산자
음수
계산
방식
궁금
윈도우
환경
아나콘다
오동작시
하나
방법
파이선
소수
계산
참거짓
판별
관한
질문
퀴즈
어떤식으로보나
그냥
명령어
퀴즈
영어
나오나
연산자
우선순위
궁금
오류원인
모르겟슴다
주석은
영어로만
달아야하나
파이썬
질문
파이썬
없는건
유출된
시험
문제
공유
퀴즈
예시
답안
실습문제
이상
나이계산프로그램
실습문제
실습
번째문제
질문
퀴즈
예시
답안
퀴즈
관련
질문
퀴즈
대한
예시풀
공유
오늘
퀴즈
질문
게시판
글댓글
기능
개선
퀴즈
번은
이미
있으니
예시
코드
if문
안씀
퀴즈
파이썬
연산자
우선순위
프로젝트
문제번
수업
질문
내용
저도
다르게
풀어봤어
퀴즈번
빈칸
실행시켜도
안나와
원글
다시
업로드
하였
추석기간중
홈스쿨링
영상
문득
생각난
제안사항
월요일
퀴즈
보나
강의계획서
변경된
일정
업데이트
되어
있음
월일
퀴즈
범위
어떻게
되나
쥬피터
노트북
실행
둘중
하나
해봅시다
자료
버전
주피터노트북
실행
주피터
노트북
오동작시
방법
대하여
True인
이해되지
않는다면
홈스쿨링과제
복사
한다
의미
무슨
의미인
홈스쿨링
과제
시험퀴즈과제
제출
일자
No
주제
선택
대한
제언
홈스쿨링과제
이거
무조건
과제
명시된
제출
홈스쿨링
과제
약간
혼동
스쿨링
과제
어려워
이해한
참인
이유
시험
관련
쪽지시험
관련
계획서
강의계획서
일정대
퀴즈
보고
시험
보고
리포트
제출
Quiz시
가능
시험퀴즈
ipynb
KLAS
다운
받아
시험
치고
다시
KLAS
제출
format문
퀴즈
사용해도
되나
문제
오류
문제
이해하기
오늘
퀴즈
다음
들고
질문
문제
오류
퀴즈
시험
수업
진도와
다른
내용
답변
작성한
경우
관련
질문
SW중심대학사업단
노트북대여
대형강좌
퀴즈
번문제
질문
제출
보고서
관하여
퀴즈번
푸신분
주제
관해
질문
구문
도와주세
ㅠㅠ
좋은
주제
있다면
먼저
제안
해보
어떨까
짝수홀수
판정
프로그램
질문이요ㅠ
이런것도
가능할까
문자열
문자세기
프로그램
함수
의미
실습
문제
질문드립니다ㅠㅠ
마지막
문제
질문
두수중
큰수
판정
이미
수업
시간
이야기
교수님
시험
함수와
데이터
인자input
중간고사
시험관련
질문
ㅠㅠ
시험
개인
노트펜
지참
가능한
교수님
시험
시험
되나
안되나
실습마지막문제
자체
문자열
돌려줍니다
구문
실습
짝수
홀수
판별
질문
완성
input
질문
구문
이해
실습
부분
궁금한
실습
실습
만들어본
프로그램
관한
질문
step
마지막
실습문제
하신분
있나
포맷
구문
장점
실습
추천
교재
관련
내용
실습해
보세
오늘퀴즈보나
클래스
format
대해
궁금한
주피터
노트북
실습
터틀
실행
범위
dropbox
세부강의일정
들어가서
확인
loop안쓰고
어떻게
하는지
제발
알려주세
교수님께
퀴즈
문제
관련
질문
역시
퀴즈
오늘
퀴즈
조교님
권한
진법변환기
번째
퀴즈
코드수정
퀴즈
시간
아니
퀴즈
return값받아서
풀라는거아니였음
관련
사항
퀴즈
준비
범위
관하여
조교님
마지막
문제
관련
질문
에러
메시지
힌트
시험
출석
관련
사항은
실습
마지막
문제
질문
질문
비전공자
궁금중
루프
파트
숫자추측게임
MacBook
장점
디자인
가성비
기술
그리고
print함수관련
질문
메모리
저장된
형태와
화면
출력되
형태
이번주
퀴즈
구구단
리스트만들기
중복된
요소
파이썬
실행을했는데
안되고
넘어갈
오늘
퀴즈
이번
퀴즈
강의자료
활용
관련
말인데
Advantage
없어도
불이익은
없어야
텐데
순서
질문
파일
열고닫기
도중
함수
교수님
mac
구구단
비교
오늘
퀴즈보나
아니면
수욜날
보나
수요일
모듈
함수
이용한
화일
읽고
쓰기
실습하기
순서질문
수요일
퀴즈나
월요일
중간고사
지금까지
수업
사용한
학습자료
피피티
있나
set실습
어떻게하나요ㅠㅠ
주피터
노트북
동기화
오류
실습
모르겠습니다ㅠㅠ
마지막
실습
오늘
퀴즈할떄
강의자료
보면
안되나
두문제
너무어려워
도와주세
오늘퀴즈제출
시험
정확히
언제죠
제안서는요ㅜ
list
sort메소드
관련
질문
ㅠㅠ
교수님
오늘
수업내용인
동영상
업로드
해주시면
안될까
오늘
퀴즈;
오늘퀴즈
퀴즈
예시
정답
제안서
양식
정해진
거죠
교수님마지막수업
나도
올려주고
싶지만
답변
참조
텀프로젝트
관련
질문
텀프로젝트제안서
재공지
ㅠㅠ
텀프로젝트
제안서
교수님
위한
제안서
아닌
본인
제안서니
알아서
쓰세
번쨰
실습
과정중
텀프로젝트
역할
오티
영상
보면
퀴즈
이라
말씀하셨는데
이번
학기
최고
게시물
ㅠㅠ
답변
텀프로젝트
오픈소스
사용
관련
텀프로젝트
프로그램
내일
기말고사
어디
까지
사용할
있는지
모르
서치
부분
연습을하다
Class실습
퀴즈
오픈북
함수
시험
강의노트
시험시
봐도
것들
이런
클래스
가능한
텀프로젝트
명제
질문
텀프로젝트
제안서제출은
쥬피터
써서
제출해야하나
텀프로젝트
양식은
없는건
프로그래밍
너무
어려워요;;
코드보는법
자괴감
보다
스스
문제
정의해
보세
중요한건
텀프로젝트
관련
예시자료나
설명되어있
자료
없나
이미
공지한
참조도서
들은
펼쳐보았나
교수님
시험을보고
문득
생각인데
오늘
수업
나온
파이썬
이용한
프로그래밍
수업
시간
질문
대한
도대체
혹시나
텀프로젝트
주피터노트북
못만드시
분들
만들어봤어
데이터분석
Step
자료
읽어
보면
질문
수업
f와
비율
어느정도
되는건
리스트
정렬
질문
미리
정하지
않아
기말고사
질문
유사도
의미부터
생각
해봐야지
Pythond
인코딩
문제
편집
모듈
다운받았는데
텀프로젝트
진행
싶어서
여쭤봅니다
개발자
도구
오른쪽마우스
클릭
hmtl
이미지
태그
텀프로젝트
주제
대한
질문
얼굴
보고
원본데이터
가공
전부
파이썬
해야하나
csv파일
숫자
맞나
교수님
혹시
오류
교수님
오픈소프트웨어
특론
특강자료
업로드
요청
쥬피터노트북
더블클릭할
썼던
지워졌는데
어떻게
되돌리나
이곳은
게시판
이름대
질의응답
수업은
소융학
홈페이지
교과목
포트폴리오
메뉴
하단
라서
일반적인
사례
아닙니다
아주
좋은
모습
중간보고서
제출
웹파ㅠ
시키
아닙니다
페이스북
크롤링하시는분
교수님
글자색
입히
대해
질문
교수님
출석관련
질문
날짜
기술돤
공식
증빙
조교님께
제출
고생
텀프로젝트
관련
질문
혹시
깔려있
module
import되지
문제
해결하신
계시나
출석관련하여
이거
파이썬
데이터
주무르기
예시인데
실행
안되
혹시
비주얼스튜디오
코드
한글적용
어떻게
하나
실습노트
마지막
그래프
그리기
월요일날
조교님들은
강의실
오나
안계십니다
마지막
수업날
제출해보세
오류
해석
도와주십시오
중간보고서
이후
주제변경을했는데
프로젝트
노트북
시간
착오
제출하지
못했
이후에도
게시판은
유지
글쎄
출석
당연히
성적
언제쯤
알수
있는건가요;;
공식
열람
기간
오픈
겁니다
웹파이선
계절학기
강의자료
질문
여러분
도와주세
강의계획서
보세
소스코드
만으
도와주시면
정말정말
감사하겟
이거
작동
안되는건
python
전공기초
C보다
먼저
짝수홀수
판정코드
질문
오류
못찾겟
참조해봐도
안되서
올립니다
연산자
질문
vscode
pandas실행
모듈
함수
추가해도
반응이없
리스트
관련
질문
아나콘다와
파이참
질문
질문
여러개
동시
받으려면
어떻게
하나
실습
파일
다운
받고
싶은데
업데이트
중인데
임시
여기서
다운
받으세
기트허브
여기
경희대
되었으면
좋겠어
소융학
철학이기도
하지만
좋은
제안
마다할
이유
없죠
선제안
후고민
주피터노트북
사용시
다운로드
위치
안녕
가상환경이란
파이썬
이미지파일
수치
대입할
없는건가요ㅠㅠ
싶은
건지
아래
질문했던
사람인데
리눅스환경
연결
질문
아나콘다
라이브러리
Ubuntu
접속
하는법
질문
사이트
학기
수업조교
대학원생
정보
수업시간
피피티
질문
notebook
드롭박스
파일은
한장인
윈도우즈
아나콘다
실행시킬
발생
오류
해결
vscode
오류
납니다
이것도
오류인
매개변수형식오류
문자열
뒤집기
프로그램
질문
함수
리턴값
대한
이해
학기
소융학
학부생
멘토링
vscode
Code
올려줘야
뭔지
알겠네
함수와
메모리
코드
볼래
아래
오류
관련한
질문
빌트인
프로그렘
관련
질문
변수지정
본인
이라면
C은
MS
만든
언어
퀴즈시험
주의사항
웹상
주피터노트북
본인
이야기
웹은
웹브라우저
같군
퀴즈
공지
관련
질문
교수님
게시판
적인
정보
업데이트
했으니
보시죠
시이저
것은
시이저에게
Q&A
게시판
오픈
영어사전
있게
해주세
Quiz관련
의의제기
결과값
정수
받고
싶은데
지킵시다
퀴즈
대하여
의견
있어서
게시글
남깁니다
월수
수업
퀴즈
관련
줄바꿈
코드
사용
퀴즈
대한
의견
정답이뭔
퀴즈
조교님
시반
수업
퀴즈
정답
알려주실분
월수
수업
관련
공지사항
시수업
퀴즈
후기
퀴즈
질문
퀴즈
문제
끝나고나서
상관없
공유
안될까
실습
수업
퀴즈
이미
첫번째
퀴즈
수업
퀴즈
문제
업로드
다음
수업
시간
퀴즈
관련
토론회
실시
퀴즈
관련
토론회
퀴즈
질문
함수명
반대
시수업
퀴즈
대한
개인적
의견
시분
퀴즈
월수
웹파썬
퀴즈
관련
의견
전역변수
선언은
어떻게
하는거죠
진심이세
작성자
이름
초보코더님께
교수님
언어
무엇인
input함수
prompt
쓰면
실행
안되네
에러
메시지
힌트
이유와
처방
출력
프로그램
관련
질문
함수
결과값
직접
출력부터
해보세
나잇값
출력
프로그램
질문
크게
뜨면
실습
출력프로그램
오류
에러
코드
이해
에러
코드
이해
문자열
뒤집어
출력하기
소스
코드
올려줘야
문자열
뒤집기
방식
무엇
문제인지
모르
강의노트
페이지
번째
박스
보세
오류
크게
뜨면
보인다고
했는데
문자열
비교할
텀프로젝트
다음주
수요일
설명회
짝수
홀수
판정코드
여러
입력받기
질문
출력
프로그램
개발하기
판정
프로그램
출력
프로그램
질문
무한반복
코멘트
print
return
아닙니다
실습
문제들
나이출력프로그램
문제
정한대
혹은
알아서
도진개진
인데
실습노트
실행중
오류
발생
안녕
아까
수업
끝나고
질문
드렸던
부분
이것만
봐서
윈도우
안써서
검색
해보니
예비군
관련
나이출력프로그램
출력
프로그램
파이썬에선
switch문
없나
질문
다르고
다르지만
real함수
imag함수
왜차이나나
학생
코드
약간
변형
주어
실행시켜봤는데
실습
저번
수업
질문
회차
prompt변수지정
왜한건
한번
import
더이상
print
안한다고
했었는데
디버깅
할때마다
산발적
흩어져
파일
프로그렘들
대하여
환경
변수
설정
프로젝트
허용범위
파이썬에서도
변수
선언할
pygame
써보고자
문제
생깁니다
질문
돌아가는건
참조자료
보지말고
보세
World
동작하나
문자열
뒤집기
질문
리스트뒤집기
질문
객체
연산자후
method
호출
문제
이군
질문
이해
못하겠네
지난학기
텀프로젝트
결과물들
변수
변경
간단한
질문
이런
코드
절대
만들면
안되겠지만
String
object와
object
ㅠㅠ
퀴즈와
시험
대한
설명
insert함수질문
양식
관련하여
질문
string
list
slicing
범주
넘어갈
별이야기
없었는데
이메일
보낸
그대
이고
동일
양식
list
함수
입력파라메터
하면서
처리
원할
교수님
문자열
뒤집기
질문
string
list
대한
인덱스
부터
줘야
한다고
이유
turtle질문
당연히
에러
나야지
오후
시반
수업
분실물
관련해
다시
질문
질문
이해
₩r
실습step
큰수판정
질문
이상하군
중첩문자열
정보입력
방법
주피터
노트북
실행하였더니
크리스마스
트리
만들기
퀴즈
관련하여
질문
웹서버
관련하여
질문
실습
문자열
활용
tomato
두번째
o위치
찾기
분실한
노트북
충전기
상식적인
일이라
당연히
시험시
공유지
ㅠㅠ
만들고
싶은
구구단
만들기
저녁반
퀴즈
올려주실수있나
일수
분실물
저녁반
퀴즈
문제랑
답좀
올려주세
실습
시간
아래
게시물
내용
재진술하여
번만
여쭤보
일단
주제
자체
한시반
퀴즈
문제
올려주실
있나
요소
제거
code
월수
퀴즈
교수님께
퀴즈
관련
질문
수업때마다
외치
이야기일듯
ㅠㅠ
퀴즈
점수관련
실습자료
문제
해석
헷갈립니다
퀴즈
사항
질문
중간고사
관련
질문
리스트
중복제거
관련
질문
실습
기공지
사항만
승인
수업
진도
나가면서
알게
겁니다
숫자추측게임
중복X리스트만들기
관련
질문
월수시분
수업
김유민
조교님
이메일
알고싶
실습문제
질문
숫자추측게임개발질문
중간고사
시험
범위
관련
정렬시키기
리스트
복사관련질문
리스트
합집합구하기
함수
같은데
실행
되질
ㅠㅠ
크롤링
저작권
질문
관련
질문
시험공부하면서
현타가오네
조건문
실습
질문있어용
주피터
노트북
오류
중간고사
질문
len값보다
크롤링
질문
중간고사
분동안
보는건
터틀
모듈
이등변
삼각형
그리기
중간고사
제출
파일
대해
숫자추측프로그램
질문
무슨
프로그램
만들고자
한건지
수업
시간
이야기
했듯
Code
해보세
수업
시간
이야기
했습니다만
의도
취직시
실기시험
회사
만나면
정도
만으론
주피터노트북
파일하나
만들고있었는데
숫자
추측
게임
첫번째
질문
실습
숫자추측번문제
질문
