titles
설치
다하고
jupyter
notebook
홈스쿨링
과제
질문
오늘
출석체크
하나요...?
프밍기
학점포기했는데
윈10
사용자
계정
변경
방법
프로그래밍기초
수강하고나서
웹
배워보고싶어서
수강신청했는데
주피터
노트북
실행
안될때
지난번수업들을
참석못했습니다
//
연산자와
%
연산자의
음수
계산
방식이
궁금합니다.
MS
윈도우
환경에서
아나콘다
오동작시
또
하나
방법
파이선
소수
계산에서
참거짓
판별에
관한
질문입니다.
퀴즈는
어떤식으로보나요?
print
와
그냥
명령어
퀴즈가
영어로
나오나요?
연산자
우선순위가
궁금합니다.
오류원인을
모르겟슴다
주석은
영어로만
달아야하나요?
파이썬
질문
파이썬에서
'와
"""의"
차이는
없는건가요?
17일
유출된
시험
문제
공유합니다.
9/17
퀴즈
예시
답안
실습문제가
이상합니다..
step
05
나이계산프로그램
실습문제
실습5
3번째문제
질문입니다.
9/17
퀴즈
예시
답안(2)
퀴즈
관련
질문입니다.
퀴즈에
대한
예시풀이
공유합니다~
오늘
퀴즈??
string
질문
게시판
글/댓글
RSS
기능
개선
퀴즈1
-
"1,"
2번은
이미
있으니
3번
예시
코드
(if문
안씀)
퀴즈
3번
파이썬
연산자
우선순위
텀
프로젝트
문제3번
풀이
Boolean
수업
질문
내용
(
3
<
5
!=
True
)
저도
3번
다르게
풀어봤어요!
퀴즈3번
input()
input
의
빈칸이
실행시켜도
안나와요
원글에
다시
업로드
하였습니다.
추석기간중
홈스쿨링
영상을
본
후
문득
생각난
제안사항입니다.
10월
1일
월요일에
퀴즈
보나요??
KHUIS
강의계획서에
변경된
일정
업데이트
되어
있음
10월1일
퀴즈
범위
어떻게
되나요
쥬피터
노트북을
실행하면
둘중에
하나를
해봅시다
HomeSchooling
자료의
HTML
버전입니다
주피터노트북
실행
reverseString
주피터
노트북
오동작시
Reset
방법
XOR(!=)
에
대하여
3
<
5
!=
True
결과가
True인
것이
이해되지
않는다면?
홈스쿨링과제
복사를
한다는
의미가
무슨
의미인가요?
홈스쿨링
과제
시험/퀴즈/과제
제출
일자는
...
Homeschooling
No.3의
주제
선택에
대한
제언
홈스쿨링과제1
이거
무조건
과제
설명문(HomeSchooling.ipynb)에
명시된
대로
제출합니다
홈스쿨링
과제가
약간
혼동이
왔습니다..
홈
스쿨링
과제가
어려워요?
^^
"네,"
이해한
대로
하세요.
3
<
5
!=
True
가
참인
이유
시험
관련
문의
쪽지시험
관련해서
문의
드립니다.
강의
계획서에
강의계획서
일정대로
퀴즈
보고
시험
보고
리포트
제출합니다
Quiz시
Pycharm/IDLE
가능합니다
시험/퀴즈는
ipynb를
KLAS에서
다운
받아
시험을
"치고,"
다시
KLAS로
제출합니다.
print()
할때
format문을
퀴즈에서
사용해도
되나요?
step
7
문제
오류
문제
이해하기
오늘
퀴즈때
다음에는
손을
들고
질문을
합니다
문제에
오류는
없습니다.
퀴즈
및
시험에서
수업
진도와
다른
내용으로
답변을
작성한
경우
TermProject
관련
질문입니다.
SW중심대학사업단
노트북대여
(대형강좌)
퀴즈
2번문제
질문
Term
Project
제출
보고서에
관하여
퀴즈1번
푸신분..?
termproject
주제에
관해
질문드립니다!
if
구문
도와주세요
ㅠㅠ
좋은
주제가
있다면
먼저
제안을
해보는
건
어떨까요?
^^
step7-Lab
짝수/홀수
판정
프로그램
질문이요ㅠ
termproject주제
이런것도
가능할까요?
문자열에서
문자세기
프로그램과
함수의
의미
...
실습
7번
문제
질문드립니다ㅠㅠ
Lab7
마지막
문제
질문합니다.
두수중
큰수
판정
이미
수업
시간에
이야기
한
대로
입니다
교수님
시험때
함수와
데이터
-
인자/input()
중간고사
시험관련
질문드립니다
ㅠㅠ
시험에
개인
"노트,펜"
지참
가능한가요?
교수님
시험때(2)
시험에서
OOO
하면
되나요?
안되나요?
7stp
실습마지막문제
input()
자체가
문자열을
return
값으로
돌려줍니다.
if
구문
실습
짝수
홀수
판별에서
질문을
완성하세요.
input에
질문이요
print
와
return
assert
구문의
이해
print
안에
print
String
method
실습
부분
중
궁금한
점
실습
다하면
실습
후
만들어본
프로그램
#1
module
에
관한
질문
step9의
마지막
실습문제
하신분
있나요..
포맷
구문의
장점
실습을
"다하면,"
추천
교재의
관련
내용을
추가로
실습해
보세요
오늘퀴즈보나요?
str
클래스의
method
중
format에
대해
궁금한
점이
있습니다.
주피터
노트북에서
실습
8
터틀
실행
시
program
의
범위
dropbox에
세부강의일정
새로
들어가서
확인
하세요.
quiz
loop안쓰고
어떻게
하는지
제발
알려주세요
ㅠ
교수님께
퀴즈
문제
관련
질문입니다.
역시
퀴즈는
오늘의
퀴즈는
조교님의
권한입니다
^^
"2,8,10,16"
진법변환기
#2
/
2번째
퀴즈
코드(수정)
퀴즈
시간
아니
퀴즈
return값받아서
풀라는거아니였음??
Quiz#2
관련
사항입니다.
퀴즈
준비
범위에
관하여
(조교님)
list
마지막
Lab
문제
관련
질문입니다.
에러
메시지가
힌트
입니다.
22일
시험
출석
관련
사항은
list
실습
마지막
문제
질문이요
loop
part1
질문
비전공자의
궁금중
루프
파트2
숫자추측게임
MacBook의
장점
"(디자인,"
"가성비,"
"기술,"
진로
그리고
Linux)
print함수관련
질문
메모리에
저장된
형태와
화면에
출력되는
형태
이번주
퀴즈
loop1
구구단
리스트만들기
loop
